brand_name,avg_rating
DUPATTA BAZAAR,4.548826646
ROADSTER,4.313255218
INDDUS,4.068965517
SASSAFRAS,4.147523016
KOTTY,4.078466558
KASSUALLY,4.349213911
SASSAFRAS,4.395351998
SERA,4.288
TOKYO TALKIES,4.530711207
ANOUK,3.80952381
ROADSTER,4.21143617
SAREE MALL,3.980099502
TOKYO TALKIES,3.912
KHUSHAL K,4.418398939
ANUBHUTEE,4.249084249
MONTREZ,4.37704918
STYLI,4.101225865898192
CHEMISTRY,4.314444444
INDDUS,3.985849057
SASSAFRAS,4.478017048
DOLCE CRUDO,4.112214864
WEAVERS VILLA,4.652173913
KASSUALLY,4.075548939
TOKYO TALKIES,4.455331412
ATHENA,4.5281745
INDDUS,4.45
ALLEN SOLLY WOMAN,4.54887218
AZIRA,4.249130435
INWEAVE,4.11933395
ANOUK,4.32
ANAYNA,4.21875
FASHIONUMA,4.101225865898192
BOSTREET,4.101225865898192
H&M,4.5
PURYS,4.244755245
TAAVI,4.169265033
TOKYO TALKIES,4.346867749
MITERA,4.454315708
ROADSTER,4.283898305
ROADSTER,4.300708307
ROADSTER,4.45251858
TOKYO TALKIES,4.253859348
QOMN,4.357414449
ANUBHUTEE,4.16152968
COTTINFAB,4.1
JATRIQQ,3.754237288
HOUSE OF PATAUDI,4.333333333
TREND ARREST,4.8
STYLI,4.101225865898192
ADDYVERO,4.239583333
KOTTY,3.944444444
PURPLE FEATHER,4.206230284
ATHENA,4.357034796
SASSAFRAS,4.488146113
SASSAFRAS,4.384651824
SASSAFRAS,4.210894309
READIPRINT FASHIONS,4.234899329
NAYO,4.210884354
NAYO,4.088986142
ZASTRAA,4.290203327
ANAYNA,4.166666667
VASTRANAND,4.237918216
KVSFAB,4.142857143
SANGRIA,3.333333333
BERRYLUSH,3.764705882
BUY NEW TREND,3.981651376
TOKYO TALKIES,3.726415094
TOKYO TALKIES,4.857142857
ROADSTER,4.226287846
ROADSTER,3.645085344
DUPATTA BAZAAR,4.536250816
AHIKA,3.978377362
TOKYO TALKIES,4.282375852
HANGUP,4.150793651
KOTTY,4.164269624
QOMN,4.348484848
MARKS & SPENCER,4.611940299
TOKYO TALKIES,4.367647059
LIBAS,4.351724138
SHAILY,4.2
SHAYE,4.173913043
ANI,4.0
FABPIXEL,4.0
MANGO,4.101225865898192
H&M,4.101225865898192
DOLCE CRUDO,4.262191624
ROADSTER,4.314136126
ATHENA,4.19
ROADSTER,4.254166667
SASSAFRAS,4.425041186
VISHUDH,4.281188119
ROADSTER,4.146551724
BIBA,4.101225865898192
MONTREZ,4.194444444
URBANIC,4.454545455
SOCH,4.101225865898192
NIRJA FAB,4.101225865898192
STYLUM,4.101225865898192
BROADSTAR,4.5
FASHIONUMA,4.101225865898192
MAX,4.101225865898192
SWEET DREAMS,4.101225865898192
ROADSTER,3.936536718
CHEMISTRY,4.132664437
TOKYO TALKIES,4.241409692
QUIERO,4.473443884
SASSAFRAS,4.296836983
TOKYO TALKIES,4.016544118
CHEMISTRY,4.18220339
W,4.313186813
LIBAS,4.435652674
WEAVERS VILLA,4.609489051
KALINI,3.893442623
H&M,4.715686275
ANUBHUTEE,4.456140351
JATRIQQ,3.8125
CUTIEKINS,3.222222222
STYLI,4.101225865898192
ADDYVERO,4.833333333
SASSAFRAS,4.09666299
STYLE QUOTIENT,4.433611289
BITIYA BY BHAMA,4.212701613
ROADSTER,4.450539568
SASSAFRAS,4.179491934
VISHUDH,3.507042254
AHALYAA,3.545089029
MITERA,4.314308053
98 DEGREE NORTH,4.405844156
HERE&NOW,4.37244898
TOKYO TALKIES,4.25
SHAYE,4.220700152
DEEBACO,3.918181818
INDDUS,4.101225865898192
MANGO,4.777777778
SIRIKIT,4.101225865898192
EMPRALL,4.101225865898192
WISSTLER,4.28988764
JAIPUR KURTI,4.064643399
SASSAFRAS,4.181169757
ROADSTER,4.245421245
INDDUS,4.472019465
H&M,4.559338521
DRESSBERRY,4.124113475
ANOUK,4.245864233
MAST & HARBOUR,4.07568438
KVSFAB,4.361111111
DUPATTA BAZAAR,4.366666667
BERRYLUSH,3.8
STREET 9,4.268413598
FABPIXEL,4.0
PURPLE STATE,4.6
POPWINGS,4.222222222
KALINI,4.101225865898192
MAST & HARBOUR,3.931688805
TOKYO TALKIES,4.457974138
STYLESTONE,4.239018088
VAN HEUSEN WOMAN,4.475
KOTTY,4.131245339
RARE,4.459921156
POPNETIC,4.309139785
NAYO,3.964879852
SANGRIA,4.538461538
SAREE MALL,4.183922046
INWEAVE,3.322683706
KHUSHAL K,4.266037736
YOONOY,4.363636364
MAST & HARBOUR,4.101225865898192
BIBA,4.101225865898192
BOSTREET,4.101225865898192
ASPORA,4.101225865898192
IVES,4.017882436
PLUSS,4.018858916
HRX BY HRITHIK ROSHAN,4.310897436
LIBAS,3.963239975
BITIYA BY BHAMA,4.022900763
WISSTLER,3.99862543
MAST & HARBOUR,4.36461126
SERA,4.028571429
ANOUK,4.428571429
TAAVI,4.6
MANGO,4.101225865898192
ROADSTER,4.101225865898192
M&H EASY,4.101225865898192
BIBA,4.101225865898192
MONTREZ,4.263157895
TOKYO TALKIES,3.777777778
BOSTREET,4.101225865898192
ESPRESSO,4.547368421
SERA,4.150346192
SASSAFRAS,4.269180754
TAAVI,4.331989247
ROADSTER,4.509966777
VARANGA,4.254328112
CHKOKKO,4.182130584
SHEWILL,4.03125
SANGRIA,4.3
MY LITTLE LAMBS,4.208333333
H&M,4.662790698
DEEBACO,4.428571429
H&M,4.475409836
VAN HEUSEN WOMAN,4.101225865898192
URBANIC,4.244186047
HIVE91,4.101225865898192
ALAYA BY STAGE3,4.2
SASSAFRAS,4.303102625
SANGRIA,3.540650407
STYLE QUOTIENT,4.033854167
STREET 9,4.346366341
CHEMISTRY,3.941326531
DUPATTA BAZAAR,4.547413793
MITERA,4.303108808
SLAZENGER,4.220264317
AHIKA,4.095425868
SALWAR STUDIO,4.2
MAST & HARBOUR,4.101225865898192
THE SOULED STORE,4.916666667
FASHION BASKET,3.31372549
ZINK LONDON,4.101225865898192
GINGER BY LIFESTYLE,4.101225865898192
POWERSUTRA,4.101225865898192
ROADSTER,4.248415716
VISHUDH,4.032884903
ROADSTER,4.40990991
SASSAFRAS,3.948499444
VISHUDH,4.254032258
ANOUK,4.385487528
M&H JUNIORS,4.0
HERE&NOW,4.293814433
DRESSBERRY,3.818181818
BERRYLUSH,4.164556962
KALINI,4.164383562
H&M,4.662068966
SANGRIA,3.62962963
PSPEACHES,4.101225865898192
MANGO,4.101225865898192
MONTREZ,4.454545455
KVSFAB,4.101225865898192
ROADSTER,4.144863267
TOKYO TALKIES,4.163624921
TOKYO TALKIES,4.451145959
TOKYO TALKIES,4.328877005
ANOUK,4.231191653
HRX BY HRITHIK ROSHAN,3.671974522
ALL ABOUT YOU,3.977777778
ANOUK,4.207964602
BIBA,4.875
SANGRIA,4.666666667
SASSAFRAS,4.185185185
UNITED LIBERTY,4.338709677
H&M,4.101225865898192
BIBA,4.101225865898192
SHOPGARB,4.101225865898192
OXOLLOXO,4.101225865898192
WISSTLER,4.101225865898192
SASSAFRAS,4.501831502
DRESSBERRY,4.104166667
SERA,3.991285403
VISHUDH,4.171206226
ANOUK,4.181818182
TAAVI,4.727272727
SAREE MALL,3.959601874
SHEWILL,4.37037037
MAST & HARBOUR,4.101225865898192
PARIS HAMILTON,4.077951002
ANI,4.086956522
H&M,4.325
SERA,4.234375
BERRYLUSH,4.428571429
AKIMIA,4.101225865898192
SHEWILL,4.101225865898192
TOKYO TALKIES,4.101225865898192
ANAYNA,4.331994645
RUTE,3.959677419
BHAMA COUTURE,4.268493151
SASSAFRAS,4.307320998
BLISSTA,4.209302326
STYLESTONE,4.3
MAST & HARBOUR,4.235294118
VARANGA,4.057426836
ANOUK,4.154185022
URBANIC,3.875
VERO MODA,4.101225865898192
H&M,4.52173913
ANTI CULTURE,3.903225806
AAHWAN,4.473684211
TOKYO TALKIES,4.101225865898192
MAX,4.101225865898192
THE MAGIC WAND,4.101225865898192
BHAMA COUTURE,3.83858899
AHIKA,4.093285653
ROADSTER,4.300225734
DOOR74,3.483394834
VENI VIDI VICI,4.399253731
PLUSS,4.266958425
PICCOLO,4.241935484
MANGO,4.241758242
ANI,3.96
WISSTLER,4.416666667
SANGRIA,4.101225865898192
ANGEL & ROCKET,4.727272727
BOSTREET,4.101225865898192
ALAYA BY STAGE3,4.101225865898192
BOSTREET,4.101225865898192
SATRANI,4.101225865898192
ZAINAB CHOTTANI,4.101225865898192
RARE,3.908896034
ANUBHUTEE,4.285094067
ROADSTER,4.53115727
HRX BY HRITHIK ROSHAN,3.510869565
SASSAFRAS,4.083743842
SASSAFRAS,4.209018568
ANOUK,4.370165746
LILPICKS,4.283783784
ROADSTER,4.392720307
MANGO,4.101225865898192
MITERA,3.951724138
BIBA,4.101225865898192
DUPATTA BAZAAR,4.101225865898192
URBANIC,4.101225865898192
DELAN,4.101225865898192
H&M,4.101225865898192
FAME FOREVER BY LIFESTYLE,4.101225865898192
BHAMA COUTURE,4.161904762
ORCHID BLUES,4.163286531
MITERA,4.432692308
STYLE QUOTIENT,4.43163309
SASSAFRAS,4.117647059
MISS CHASE,4.044444444
H&M,4.481595092
MAST & HARBOUR,4.101225865898192
KALINI,4.17571885
ROADSTER,4.6
PUMA,4.101225865898192
PASHTUSH,4.101225865898192
HARPA,4.101225865898192
INDYA,4.101225865898192
TOKYO TALKIES,4.101225865898192
CHARU,4.101225865898192
KVSFAB,4.101225865898192
SASSAFRAS,4.048248513
HERE&NOW,4.280701754
HERE&NOW,4.8
MITERA,3.826737968
LIBAS,4.338235294
MAX,4.517241379
MYSHKA,4.042253521
ROADSTER,4.101225865898192
ALL ABOUT YOU,4.2
STREET 9,4.25
H&M,4.101225865898192
MONTREZ,4.101225865898192
KIROSHE BY KIRAN,4.101225865898192
H&M,4.101225865898192
STYLI,4.101225865898192
FASHION BASKET,4.101225865898192
MORLY,4.101225865898192
BHAMA COUTURE,4.01744186
PLUSS,4.278657968
MISS CHASE,4.226133333
DUPATTA BAZAAR,4.245762712
ROADSTER,4.429149798
JAIPURI BUNAAI,4.044416244
HOUSE OF PATAUDI,4.37254902
TOKYO TALKIES,3.591836735
ANOUK,3.818181818
STREET 9,3.75
BIBA,4.101225865898192
MONTREZ,4.101225865898192
BOSTREET,4.101225865898192
URBANIC,4.101225865898192
MALACHI,4.101225865898192
PUMA,4.101225865898192
AYAANY,4.101225865898192
SHAILY,4.440979955
ROADSTER,4.536094675
HIGH STAR,4.341365462
ROADSTER,4.401869159
PLUSS,4.400696864
LIBAS,4.223880597
SASSAFRAS,3.690607735
SASSAFRAS,4.866666667
DRESSBERRY,4.277777778
HOUSE OF PATAUDI,4.5
KALINI,3.94214876
HOUSE OF PATAUDI,4.333333333
FOREVER NEW,4.101225865898192
H&M,4.2
NEXT ONE,4.4
KVSFAB,4.101225865898192
BOSTREET,4.101225865898192
ANOUK,4.045454545
TOKYO TALKIES,4.247524752
TOKYO TALKIES,3.979626486
ROADSTER,4.471962617
ROADSTER,4.095975232
INDO ERA,4.299941759
READIPRINT FASHIONS,4.6
INDDUS,4.171428571
TOKYO TALKIES,4.393617021
PURYS,4.184210526
BEWAKOOF,4.857142857
URBANIC,3.8
SOCH,4.101225865898192
MANGO,4.101225865898192
BOSTREET,4.101225865898192
H&M,4.101225865898192
APRATIM,4.101225865898192
TOKYO TALKIES,4.325870647
SCORPIUS,3.5
ROADSTER,4.371621622
BERRYLUSH,4.457446809
BERRYLUSH,4.065868263
HERE&NOW,4.5
ANOUK,4.084249084
MITERA,3.472727273
QOMN,4.259259259
ELLEVEN,4.101225865898192
SANGRIA,4.101225865898192
MANGO,4.101225865898192
FASHION BASKET,4.101225865898192
LC WAIKIKI,4.101225865898192
ADDYVERO,4.461538462
MAX,4.101225865898192
TAAVI,4.083969466
TOKYO TALKIES,4.139562743
MARKS & SPENCER,4.388888889
ROADSTER,3.822372284
RAJNANDINI,4.175324675
ANOUK,3.65
RAJNANDINI,4.375
MAST & HARBOUR,4.101225865898192
INDDUS,4.588235294
CLORA CREATION,4.101225865898192
KASSUALLY,3.5
VISHUDH,4.276923077
FOREVER 21,4.101225865898192
COASTLAND,4.101225865898192
MAX,4.101225865898192
TOULIN,4.101225865898192
CHEMISTRY,4.430317848
ALLEN SOLLY WOMAN,3.953125
PURPLE STATE,4.333333333
VARANGA,3.751404494
PASHMODA,4.495575221
ISHIN,4.204935174
BERRYLUSH,4.112612613
BITIYA BY BHAMA,3.987341772
BIBA,4.101225865898192
ATHENA,3.87037037
SAREE MALL,4.108433735
H&M,4.52
KASSUALLY,4.444444444
FLYING MACHINE,4.291666667
V-MART,4.101225865898192
STYLI,4.101225865898192
ROADSTER,4.115844156
ZASTRAA,4.192307692
NAYO,4.091139241
KASSUALLY,4.274413099
VISHUDH,3.878125
LEATHER RETAIL,4.142857143
LIBAS,4.310539019
SASSAFRAS,4.269230769
MAST & HARBOUR,4.101225865898192
PUMA,4.444444444
ALL ABOUT YOU,4.512820513
HOUSE OF PATAUDI,4.0
SASSAFRAS,4.277777778
MODA CHALES,4.101225865898192
SOCH,4.101225865898192
B.COPENHAGEN,4.101225865898192
TOKYO TALKIES,4.326612903
TOKYO TALKIES,3.915567282
ROADSTER,4.060150376
PANCHHI,4.484848485
ATHENA,4.28226445
MANGO,4.101225865898192
NAYO,4.256615878
DEEBACO,3.722222222
MITERA,4.143478261
CHHABRA 555,4.101225865898192
VISHUDH,4.131313131
SANGRIA,4.101225865898192
INDDUS,3.125
FLYING MACHINE,4.101225865898192
H&M,4.263157895
GINGER BY LIFESTYLE,4.101225865898192
MYSHKA,4.101225865898192
BIBA,3.8
STYLE QUOTIENT,4.095238095
TOKYO TALKIES,4.23880597
TAAVI,4.857142857
SHAE BY SASSAFRAS,4.373737374
MAST & HARBOUR,4.101225865898192
SAREE MALL,4.150289017
JUNIPER,4.1875
ROADSTER,4.101225865898192
SHINOY,4.252148997
H&M,4.052631579
FABLESTREET,4.101225865898192
VIRAH FASHION,4.35
ALAYA BY STAGE3,4.101225865898192
JATRIQQ,4.101225865898192
SUMAVI-FASHION,4.101225865898192
MAMERAA,4.101225865898192
TOKYO TALKIES,4.311958406
SCORPIUS,3.482300885
INDO ERA,4.222585692
ROADSTER,4.40600316
SHAE BY SASSAFRAS,4.428571429
98 DEGREE NORTH,4.457831325
URBANIC,4.101225865898192
POPNETIC,3.694444444
ROADSTER,4.285714286
MITERA,4.155844156
DUPATTA BAZAAR,4.101225865898192
LA AIMEE,4.101225865898192
GERUA,4.101225865898192
MINOS,4.101225865898192
SOCH,4.101225865898192
STYLI,4.101225865898192
JBN CREATION,4.101225865898192
TOKYO TALKIES,4.436416185
KASSUALLY,3.53125
ANOUK,4.092243187
HIGH STAR,4.325
TAAVI,4.346153846
ANOUK,4.038961039
KVSFAB,4.363636364
20DRESSES,4.611111111
MANGO,4.101225865898192
SHAE BY SASSAFRAS,4.428571429
MANGO,4.25
PATRORNA,4.101225865898192
FOREVER 21,4.101225865898192
STREET 9,4.101225865898192
DRESSBERRY,4.101225865898192
FASHION BASKET,3.428571429
BIBA,4.101225865898192
JUNIPER,3.86827957
DOLCE CRUDO,4.103869654
HANGUP,2.888888889
ANTHEAA,4.239416058
VISHUDH,3.828985507
TOKYO TALKIES,4.572528883
MAST & HARBOUR,4.53125
INDYA,4.392857143
ANOUK,3.99122807
INDDUS,4.15
BROADSTAR,4.101225865898192
ANOUK,4.101225865898192
FOREVER 21,4.101225865898192
DIVINE INTERNATIONAL TRADING CO,4.101225865898192
ATURABI,4.101225865898192
FAME FOREVER BY LIFESTYLE,4.101225865898192
VERO MODA,4.101225865898192
BIBA,4.204081633
DEEWA,3.946804713
STYLE QUOTIENT,3.985714286
WEAVERS VILLA,4.569230769
JAINISH,4.101225865898192
SASSAFRAS,4.279816514
HERE&NOW,4.355035605
VARANGA,3.939393939
MODA RAPIDO,4.101225865898192
VISHUDH,4.277777778
BLUE GIRAFFE,4.101225865898192
LEVIS,4.101225865898192
H&M,4.571428571
STYLEE LIFESTYLE,4.101225865898192
PUMA,4.101225865898192
DARZI,4.101225865898192
ZAINAB CHOTTANI,4.101225865898192
SCORPIUS,3.804979253
BHAMA COUTURE,3.982978723
AHIKA,3.85701107
ROADSTER,3.994680851
PLUSS,4.147058824
FABLESTREET,4.514084507
H&M,4.833333333
SOCH,4.101225865898192
HOUSE OF PATAUDI,4.0
MITERA,3.943005181
MANGO,4.101225865898192
HARPA,4.101225865898192
BERRYLUSH,4.888888889
JC COLLECTION,4.101225865898192
IUGA,4.101225865898192
THE PINK MOON,4.101225865898192
SOCH,4.101225865898192
TIKHI IMLI,3.934699104
ANAYNA,4.128
SASSAFRAS,4.079147641
AHALYAA,4.215628357
513,4.573529412
HARPA,3.862652869
M&H EASY,4.323529412
DUPATTA BAZAAR,4.536585366
BIBA,4.101225865898192
H&M,4.46875
CUTECUMBER,4.101225865898192
MANGO,4.101225865898192
MAST & HARBOUR,4.101225865898192
URBANIC,4.714285714
NIKE,4.101225865898192
BITTERLIME,4.101225865898192
Q-RIOUS,4.101225865898192
AASI - HOUSE OF NAYO,4.109164897
SASSAFRAS,4.423380727
ROADSTER,4.553398058
VASTRANAND,4.12522686
MAST & HARBOUR,4.120481928
CAMPUS SUTRA,4.101225865898192
TAAVI,4.222222222
MARKS & SPENCER,4.101225865898192
HARVARD,3.807692308
TOKYO TALKIES,4.032786885
KBZ,4.677419355
M&H EASY,4.357142857
HARPA,4.101225865898192
H&M,4.6
GERUA,4.101225865898192
FASHION YOU,4.101225865898192
FASHION BASKET,4.101225865898192
STREET 9,4.396703718
TOKYO TALKIES,4.314781022
DOLCE CRUDO,3.807748538
